time,confirm,suspect,dead,heal
2020012603,1409,2032,42,39
2020012603,1409,2032,42,39
2020012603,1409,2032,42,39
2020012604,1409,2032,42,39
2020012605,1409,2032,42,39
2020012606,1409,2032,42,39
2020012607,1409,2032,42,39
2020012608,1742,2032,54,49
2020012609,1975,2684,56,49
2020012610,1975,2684,56,49
2020012611,1992,2684,56,49
2020012613,2005,2684,56,49
2020012614,2018,2684,56,49
2020012615,2029,2684,56,49
2020012616,2029,2684,56,49
2020012617,2033,2684,56,49
2020012618,2036,2684,56,49
2020012619,2049,2684,56,49
2020012621,2071,2692,56,49
2020012622,2071,2692,56,49
2020012623,2076,2692,56,49
2020012701,2081,2692,56,49
2020012702,2081,2692,56,49
2020012703,2081,2692,56,49
2020012704,2081,2692,56,49
2020012705,2081,2692,56,49
2020012706,2093,2692,56,49
2020012707,2463,2692,80,51
2020012708,2762,5794,80,51
2020012709,2762,5794,80,51
2020012710,2762,5794,80,51
2020012711,2762,5794,80,51
2020012712,2780,5794,81,52
2020012713,2784,5794,81,52
2020012714,2818,5794,81,52
2020012715,2823,5794,81,55
2020012716,2823,5794,81,57
2020012717,2823,5794,81,58
2020012718,2835,5794,81,58
2020012720,2840,5794,81,55
2020012721,2844,5794,81,56
2020012723,2846,5794,81,56
2020012804,2858,5794,82,56
